country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",16-12-2025 21:00,28.685382,77.453839,NO2,61,179,97
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",16-12-2025 21:00,28.6603346,77.3572563,PM10,177,413,281
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",16-12-2025 21:00,28.840739,78.697531,PM10,124,363,200
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",16-12-2025 21:00,28.856664,78.772638,PM10,131,189,169
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",16-12-2025 21:00,28.856664,78.772638,OZONE,17,19,18
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",16-12-2025 21:00,28.849399,78.742362,NO2,25,25,25
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",16-12-2025 21:00,26.8458805,80.9365541,OZONE,2,51,25
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",16-12-2025 21:00,26.83399722,80.8917361,PM10,125,253,172
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",16-12-2025 21:00,26.83399722,80.8917361,NO2,42,54,46
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",16-12-2025 21:00,26.428282,80.327067,NH3,2,2,2
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",16-12-2025 21:00,26.428282,80.327067,CO,40,64,43
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",16-12-2025 21:00,26.509954,80.249612,NH3,3,3,3
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",16-12-2025 21:00,26.509954,80.249612,CO,40,91,50
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",16-12-2025 21:00,28.999264,77.7590354,NO2,34,89,54
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",16-12-2025 21:00,28.9535882,77.7622941,OZONE,22,126,85
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",16-12-2025 21:00,28.56923,77.393848,PM2.5,143,439,315
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",16-12-2025 21:00,28.56923,77.393848,NH3,19,35,28
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",16-12-2025 21:00,28.56923,77.393848,CO,13,129,67
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",16-12-2025 21:00,25.425602,81.917152,OZONE,16,73,29
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",16-12-2025 21:00,25.494,81.863,NH3,8,8,8
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",16-12-2025 21:00,25.44919916,81.82735986,PM2.5,56,229,130
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",16-12-2025 21:00,25.44919916,81.82735986,NO2,5,5,5
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",16-12-2025 21:00,25.3505986,82.9083074,CO,2,60,11
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",16-12-2025 21:00,25.3505986,82.9083074,OZONE,4,25,15
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",16-12-2025 21:00,25.262326,82.995408,CO,10,50,18
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",16-12-2025 21:00,25.262326,82.995408,OZONE,13,49,16
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",16-12-2025 21:00,25.32393,82.99687,PM2.5,58,232,117
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",16-12-2025 21:00,25.32393,82.99687,NO2,2,2,2
